trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.001, 'e': 0.7963715544517881}",25,0,-11.071872556248417,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
84,False,"{'a': 0.001, 'e': 0.7958143030453172}",20,3,-108.0006157961422,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 2}",1
85,False,"{'a': 0.001, 'e': 0.795256934856923}",25,0,-88.45198552630666,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.001, 'e': 0.7946994518204294}",25,0,-133.08548923822147,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
87,False,"{'a': 0.001, 'e': 0.7941418558632535}",20,0,-77.02331783781848,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
88,False,"{'a': 0.001, 'e': 0.7935841489064196}",20,0,-56.63878724961561,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",1
89,False,"{'a': 0.001, 'e': 0.7930263328645751}",25,0,-127.21171361769278,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
90,False,"{'a': 0.001, 'e': 0.7924684096460055}",20,0,-119.90907476772651,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.001, 'e': 0.7919103811526493}",20,2,-117.74233036555052,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 3}",1
92,False,"{'a': 0.001, 'e': 0.7913522492801136}",25,13,-82.36287655537063,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
93,False,"{'a': 0.001, 'e': 0.7907940159176889}",20,0,-107.33152099816478,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
94,False,"{'a': 0.001, 'e': 0.7902356829483642}",20,0,-118.75535739206634,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
95,False,"{'a': 0.001, 'e': 0.7896772522488423}",20,0,-141.72459009759902,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
96,False,"{'a': 0.001, 'e': 0.7891187256895544}",25,13,-1.174242367129405,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.001, 'e': 0.7885601051346757}",20,0,-148.8079056751372,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
98,False,"{'a': 0.001, 'e': 0.78800139244214}",25,0,-44.112808645451835,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
99,False,"{'a': 0.001, 'e': 0.7874425894636548}",35,0,-105.40946389024789,"{0: 27, 1: 3, 2: 2, 3: 1, 4: 2}",0
100,False,"{'a': 0.001, 'e': 0.7868836980447164}",25,13,-47.110407954743515,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.001, 'e': 0.7863247200246246}",20,10,-39.62429457798971,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 0}",1
102,False,"{'a': 0.001, 'e': 0.7857656572364979}",20,0,-75.2704054608585,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
103,False,"{'a': 0.001, 'e': 0.7852065115072882}",20,6,-35.159422598410956,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
104,False,"{'a': 0.001, 'e': 0.7846472846577955}",25,15,11.884989341867897,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.001, 'e': 0.7840879785026834}",35,0,-205.45751981692416,"{0: 20, 1: 2, 2: 8, 3: 3, 4: 2}",0
